name,cost_per_one,metric,measure_by_quantity,category_id,
Gammon Boned & Rolled,€0.00230,g,FALSE,8,
Guinea Fowl,€8.14000,g,TRUE,8,
"Ham, Crumbed",€0.00210,g,FALSE,8,
"Ham, Hocks",€0.00336,g,FALSE,8,
"Ham, Sliced ",€0.02610,g,FALSE,8,
"Lamb, Burger",€1.00000,g,TRUE,8,
"Lamb, Diced",€0.01100,g,FALSE,8,
"Lamb, Kidneys",€0.00618,g,TRUE,8,
"Lamb, Leg",€15.00000,g,TRUE,8,
"Lamb, Mince",€0.01160,g,FALSE,8,
"Lamb, Rack",€0.00660,g,FALSE,8,
"Lamb, Saddle",€0.00980,g,FALSE,8,
"Lamb, shank",€0.01800,g,FALSE,8,
"Lamb, Shoulder",€15.00000,g,TRUE,8,
"Lamb, steak",€4.00000,g,TRUE,8,
Lambs Liver,€0.70000,g,TRUE,8,
Olives Green Pitted,€0.00600,g,FALSE,8,
Olives Oriental Aperitif Mix,€0.00500,g,FALSE,8,
Parmaham,€0.00220,g,FALSE,8,
Pastrami,€0.02500,g,FALSE,8,
Pheasant terrine with girolles,€0.00100,g,FALSE,8,
Pork & Leek sauages,€0.01210,g,TRUE,8,
"Pork, BBQ Pork Belly Spare Ribs",€0.00260,g,FALSE,8,
"Pork, Black Pudding",€2.59000,g,TRUE,8,
"Pork, Boneless Loin of Pork B/R",€0.00900,g,FALSE,8,
"Pork, Chop",€0.00500,g,FALSE,8,
"Pork, Cocktail Sausages",€0.01210,g,FALSE,8,
"Pork, Crepine Caul Fat",€0.00390,g,FALSE,8,
"Pork, Gammon",€0.00350,g,FALSE,8,
"Pork, Hot dog sausages",€0.00800,g,TRUE,8,
"Pork, Kidney",€0.02210,g,TRUE,8,
"Pork, Leek and black pepper sauce",€0.00390,g,FALSE,8,
"Pork, Leg",€0.00742,g,TRUE,8,
"Pork, Mortadella",€0.02200,g,FALSE,8,
"Pork, Pancetta rolled",€0.01030,g,FALSE,8,
"Pork, Pulled BBQ style",€0.04200,g,FALSE,8,
"Pork, Rashers Rindless",€0.00193,g,FALSE,8,
"Pork, Sausage Meat",€0.00300,g,FALSE,8,
"Pork, Sausages",€0.35000,g,TRUE,8,
"Pork, Smoked Streaky Slab",€0.00800,g,FALSE,8,
"Pork, Steaks",€0.00700,g,FALSE,8,
"Pork, White Pudding",€2.59000,g,TRUE,8,
"Stuffing, Turkey & Ham herb ",€0.00900,g,FALSE,8,
Turkey Breast ,€2.00000,g,TRUE,8,
Turkey Butterfly,€0.00098,g,FALSE,8,
Turkey crown,€25.00000,g,TRUE,8,
Turkey Legs,€3.37000,g,TRUE,8,
"Veal, Bones",€0.00077,g,FALSE,8,
Venison sausages,€10.00000,g,TRUE,8,
Venison steaks,€0.70000,g,TRUE,8,
"Anchovies, Marinated ",€0.01400,g,FALSE,7,
Anchovy Fillets in Oil,€0.01600,g,FALSE,7,
Black sole,€0.02000,g,FALSE,7,
Blossom Fillets,€0.01026,g,FALSE,7,
Breaded cod goujon,€0.17500,g,FALSE,7,
Clams ,€0.01600,g,FALSE,7,
Cod Fillet,€0.01880,g,FALSE,7,
"Cod fillets, salted",€0.01600,g,FALSE,7,
"Cod, in beer batter",€0.00700,g,FALSE,7,
"Cod, Smoked",€0.03100,g,FALSE,7,
Cold water prawns,€3.25000,g,TRUE,7,
Crab cakes,€0.03200,g,FALSE,7,
Crab Claws,€0.04000,g,FALSE,7,
Crab meat ,€0.01400,g,FALSE,7,
Cray Fish in brine,€3.25000,g,TRUE,7,
Fish cake,€0.04800,g,TRUE,7,
"Fish, Kippers",€0.00000,g,FALSE,7,
Fishbones,€0.00600,g,FALSE,7,
Gurnard fillets,€0.00900,g,FALSE,7,
Haddock,€0.05400,g,FALSE,7,
Haddock fillet,€0.06200,g,FALSE,7,
"Haddock, smoked",€0.00900,g,FALSE,7,
Hake fillet,€0.00390,g,FALSE,7,
Halibut fillet,€0.71400,g,FALSE,7,
Herring rollmops/gherkins,€0.02150,g,FALSE,7,
Languistine,€0.01400,g,FALSE,7,
Lemon sole fillets,€0.01000,g,FALSE,7,
Lobster Terrine,€0.13900,g,FALSE,7,
"Mackeral , Smoked",€0.06900,g,FALSE,7,
Mackeral Fillets,€0.01000,g,FALSE,7,
Marlon loin,€0.01050,g,FALSE,7,
Mixed fish,€0.00290,g,FALSE,7,
Mussels,€0.15400,g,TRUE,7,
Oysters ,€0.02000,g,FALSE,7,
Plaice fillet,€0.03200,g,FALSE,7,
Prawn heads,€0.14500,g,FALSE,7,
"Prawns, large",€0.02150,g,FALSE,7,
Ray wings,€0.00135,g,FALSE,7,
"Rissotto fish cake hake, smk bacon",€0.01500,g,TRUE,7,
Salmon Cutlets,€0.00590,g,FALSE,7,
Salmon fillet,€0.05500,g,FALSE,7,
Salmon fish cake,€3.25000,g,TRUE,7,
Salmon Roe,€0.12900,g,FALSE,7,
Salmon steaks,€0.00590,g,FALSE,7,
Salmon terrine ,€0.01400,g,FALSE,7,
"Salmon, Smoked",€0.01900,g,FALSE,7,
Seabass fillets,€0.00280,g,FALSE,7,
Seabream fillets,€0.08700,g,FALSE,7,
Seatrout fillet,€0.50000,g,FALSE,7,
"Shrimp, Brown",€0.00430,g,FALSE,7,
Smoked Mackeral,€0.01400,g,FALSE,7,
Sole fillets,€0.01150,g,FALSE,7,
Squid,€0.00470,g,FALSE,7,
Swordfish steaks,€0.01320,g,FALSE,7,
Tiger prawns,€0.00215,g,FALSE,7,
"Trout, rainbow",€0.08700,g,FALSE,7,
"Trout, smoked",€0.01050,g,FALSE,7,
Tuna Steak,€0.00230,g,FALSE,7,
Whiting fillets,€0.00700,g,FALSE,7,
Apples,€0.31000,g,TRUE,1,
Asparagus ,€0.01000,g,FALSE,1,
Aubergines ,€0.60000,g,TRUE,1,
Avocado,€1.20000,g,TRUE,1,
Baby Corn,€0.00118,g,FALSE,1,
Bean sprouts ,€0.01377,g,FALSE,1,
Beans,€0.04150,g,FALSE,1,
Beetroot,€0.20000,g,TRUE,1,
Broccoli,€0.02850,g,FALSE,1,
Brussel Sprouts,€0.57140,g,FALSE,1,
Butternut squash,€1.20000,g,TRUE,1,
Cabbage,€0.00120,g,FALSE,1,
Carrots,€0.02770,g,FALSE,1,
Cauliflower ,€0.00120,g,FALSE,1,
Cannellini Bean's ,€0.00250,g,FALSE,1,
Celeriac,€0.00738,g,FALSE,1,
Celery,€0.00144,g,FALSE,1,
Chestnuts,€0.01400,g,FALSE,1,
Chick pea's ,€0.00250,g,FALSE,1,
Chips,€0.38800,g,FALSE,1,
Coleslaw,€0.00300,g,FALSE,1,
Corn on the Cob ,€0.05500,g,FALSE,1,
Courgette,€0.40000,g,TRUE,1,
Cucumber,€0.59000,g,TRUE,1,
Currents ,€0.00550,,TRUE,1,
Dates ,€0.01500,,FALSE,1,
Falafel,€0.20000,g,TRUE,1,
Fennel ,€0.05700,g,FALSE,1,
French Beans,€0.04150,g,FALSE,1,
"Fries, sweet potato",€0.15430,g,FALSE,1,
Garlic,€0.00900,g,FALSE,1,
Ginger ,€0.01600,g,FALSE,1,
Hashbrowns,€0.15000,g,TRUE,1,
Jalapeno peppers,€0.00300,g,FALSE,1,
Juniper Berries,€0.01600,g,FALSE,1,
Kale ,€0.01200,g,FALSE,1,
Kiwi ,€0.40000,g,FALSE,1,
Leek ,€0.50000,g,TRUE,1,
Lemon grass,€0.85000,g,TRUE,1,
Lettuce,€0.01330,g,FALSE,1,
"Lettuce, Rocket",€0.01090,g,FALSE,1,
Lentils ,€0.01100,g,FALSE,1,
Lollo Rossa,€0.00542,g,FALSE,1,
Mangetout,€0.04150,g,FALSE,1,
Melon,€2.50000,g,TRUE,1,
Mushrooms,€0.07890,g,FALSE,1,
"Onion, red ",€0.00073,g,FALSE,1,
Onions,€0.00073,g,FALSE,1,
"Onions, battered ",€0.00221,g,FALSE,1,
Parsnips,€0.00220,g,FALSE,1,
Pears ,€0.08500,g,FALSE,1,
Pea's ,€0.84200,g,FALSE,1,
"Peppers, mixed",€0.01700,g,FALSE,1,
Peppers,€0.01700,g,FALSE,1,
Plums,€0.23200,g,FALSE,1,
Pok choi,€0.01200,g,FALSE,1,
Potatoes,€0.00080,g,FALSE,1,
Pumpkin ,€0.04190,g,FALSE,1,
Puy Lentils,€0.00570,g,FALSE,1,
Radish ,€0.00570,g,FALSE,1,
Ratatouille Mix ,€0.00550,g,FALSE,1,
Chilli,€0.15000,g,TRUE,1,
Rocolla Baby ,€0.01090,g,FALSE,1,
Rocolla Herb ,€0.01090,g,FALSE,1,
Samphire ,€0.03010,g,FALSE,1,
Scallions ,€0.01110,g,FALSE,1,
Soup ,€0.02500,g,FALSE,1,
Soup 1 litre,€2.00000,g,TRUE,1,
Soup Mix ,€0.00225,g,FALSE,1,
Spinach,€0.00260,g,FALSE,1,
Swede,€0.70000,g,TRUE,1,
Sweet Potato fries,€0.00460,g,FALSE,1,
Tofu,€0.01000,g,FALSE,1,
Tomato,€0.01420,g,FALSE,1,
"Tomato, Cherry ",€0.00261,g,FALSE,1,
"Tomato, Tin 400g",€1.19000,g,TRUE,1,
Turnip,€0.03180,g,TRUE,1,
Watercress,€0.01000,g,FALSE,1,
Wedges,€0.00200,g,FALSE,1,
Apple,€0.32000,g,TRUE,4
"Apricots, Dried  ",€0.00984,g,FALSE,4
Avocado,€0.01380,g,TRUE,4
Banana,€0.12000,g,TRUE,4
Banana Chips,€0.00100,g,FALSE,4
Blackberries,€0.06400,g,FALSE,4
Blueberries,€0.01280,g,FALSE,4
Brazil Nuts ,€0.01850,g,FALSE,4
Cashew nuts,€0.18050,g,FALSE,4
Cherries,€0.00500,g,FALSE,4
Chocolate Raisins case,€0.79200,g,FALSE,4
Clementines,€0.24300,g,FALSE,4
Cranberries,€0.09780,g,FALSE,4
Fig,€0.75000,g,TRUE,4
Goji Berry,€0.00730,g,FALSE,4
Gooseberries,€0.01280,g,FALSE,4
Granola,€0.79200,g,FALSE,4
Grape4€0.75000,g,TRUE,4
Grapes,€0.03000,g,FALSE,4
Kiwi,€0.50000,g,TRUE,4
Lemons,€0.39000,g,TRUE,4
Limes,€0.50000,g,TRUE,4
Mango,€2.00000,g,TRUE,4
Melon,€2.50000,g,TRUE,4
